code,name,credits
BIO3802E,Vi sinh vật học ứng dụng,3
BIO1160,Hoá sinh học,4
BIO1235,Vi sinh vật học,4
BIO1205,Sinh học tế bào,4
BIO1161,Hoá sinh học các hợp chất có hoạt tính sinh học,3
CHE1085,Thực tập hóa lý 1,2
CHE1058,Thực tập hóa học phân tích,2
PHY1106,Đại số tuyến tính,3
PHY2004,Vật lý hạt nhân,2
PHY2201,Phương pháp toán cho Vật lý 1,3
PHY2302,Nhiệt động học và Vật lý phân tử,3
PHY2304,Quang học,3
MAT3301,Giải tích hàm,3
MAT2304,Giải tích 3,4
MAT2314,Phương trình vi phân,4
MAT2407,Tối ưu hóa,3
MAT2302,Giải tích 1 (phần 2),5
HMO4072,Khóa luận tốt nghiệp,7
HMO1179,Seminar một số vấn đề về Tài nguyên và Môi trường nước/seminar học thuật,2
HMO1189,Thực hành Đánh giá tác động môi trường,2
HMO1192,Thực hành GIS và Viễn thám trong Quản lý tài nguyên và Môi trường nước,2
HMO1193,Xử lý nước,3
HMO3216,Niên luận,2
HMO3401,Điều tiết dòng chảy,2
HMO1176,Quy hoạch và quản lý tài nguyên nước,4
HMO1177,Mô hình toán thủy văn thủy lực,4
HMO1178,Hoá học môi trường nước,3
HMO1185,Biến đổi thảm phủ và sử dụng đất,3
HMO1195,Phân tích dữ liệu thủy văn và tài nguyên nước,3
HMO3083,Quản lý rủi ro thiên tai,3
HMO1170,Phân tích và tính toán thủy văn,3
HMO1172,Quan trắc và Bảo vệ môi trường nước,4
HMO2021,Thủy văn đại cương,3
MAT1201,Phương pháp nghiên cứu khoa học,3
MAT3365,Phương trình đạo hàm riêng,3
MAT3366,Hệ thống máy tính,3
MAT3409,Giải tích hàm ứng dụng,3
MAT2405,Xác suất,3
MAT3311,Lý thuyết nhóm và biểu diễn nhóm,3
MAT3318,Giải tích trên đa tạp,3
MAT3321,Quá trình ngẫu nhiên,3
MAT3323,Tối ưu rời rạc,3
MAT3327,Điều khiển tối ưu,3
MAT3341,Giải tích điều hòa,3
MAT3345,Lý thuyết ổn định của phương trình vi phân,3
MAT3359,Thực tập chuyên ngành,3
MAT3361,Cơ học lý thuyết nâng cao,3
MAT3364,Xêmina 2,2
MAT3406,Lý thuyết dao động,3
MAT3418,Phương pháp số trong cơ học,3
MAT3423,Cơ học môi trường liên tục,3
MAT3325,Lịch sử toán học,3
MAT2307,Giải tích số 1,4
MAT2313,Phương trình đạo hàm riêng 1,4
MAT2315,Phương pháp nghiên cứu khoa học,3
MAT3302,Toán rời rạc,4
MAT3304,Thực hành tính toán,2
MAT3307,Lý thuyết độ đo và tích phân,3
MAT2318,Lập trình Python,3
MAT2322,Giải tích 3,5
MAT3305,Tôpô đại cương,3
MAT3339,Đại số tuyến tính 3,3
MAT2300,Đại số tuyến tính 1,4
MAT2302,Giải tích 1,5
MAT2320,Đại số tuyến tính 1,5
PHY1066,Cơ sở vật lý hiện đại,4
MAT3334,Các mô hình toán ứng dụng 2,3
MAT3335,Đại số máy tính,3
MAT2301,Đại số tuyến tính 2,4
MAT2303,Giải tích 2,5
MAT3456,Logic ứng dụng,3
MAT3539,Mật mã và an toàn dữ liệu,3
MAT3545,Lý thuyết tính toán,3
MAT3562,Thị giác máy tính,3
MAT3565,Nhập môn khai phá các tập dữ liệu lớn,3
PHY1308,Thực tập Vật lý Chất rắn và Vật lý Nhiệt độ thấp,3
PHY1310,Vật lý bán dẫn,3
PHY1311,Quang tử và ứng dụng,3
PHY1313,Nhập môn Trí tuệ nhân tạo,3
PHY2166,Thực tập Vật lý hiện đại,3
PHY3126,Lý thuyết chất rắn,3
PHY3329,Vật lý laser và ứng dụng,3
PHY3337,Vật lý các hệ thấp chiều,3
PHY3348,Từ học và siêu dẫn,3
PHY3356,Thực tập Quang lượng tử,3
PHY3357,Thực tập Vật lý lý thuyết,3
PHY3359,Thực tập Vật lý trái đất,3
PHY3362,Vật lý nơtron và lò phản ứng,3
PHY3363,Cấu trúc hạt nhân,3
PHY3368,Phản ứng hạt nhân,3
PHY3372,Điện tử hạt nhân,3
PHY3380,Lập trình song song,3
PHY3390,Quang phổ học phân tử,3
PHY3391,Quang phổ học thực nghiệm,3
PHY3398,Ghi nhận và đo lường bức xạ,3
PHY3401,Thông tin quang,3
PHY3404,Phương pháp thăm dò điện,3
PHY3419,Vật lý Trái đất,3
PHY3422,Từ học,3
PHY3432,Mô phỏng Vật lý bằng máy tính,3
PHY3507,Thực tập Vật lý hiện đại,2
PHY3512,Điều chế xung và điều chế số,3
PHY3513,Lý thuyết nhóm cho Vật lý,3
PHY3515,Địa chấn học,3
PHY3522,Vi điều khiển,3
PHY3525,Mở đầu Vật lý hạt và Vật lý năng lượng cao,3
PHY3526,Các phương pháp trường thế áp dụng trong địa vật lý,3
PHY3611,Thực tập Vật lý Hạt nhân,3
PHY2306,Cơ học lượng tử,4
PHY2404,Cơ học lượng tử 1,4
PHY3506,Các phương pháp thí nghiệm trong Vật lý hiện đại,2
PHY3510,Mở đầu Thiên văn học,3
PHY3606,Điện động lực học,4
PHY3609,Điện tử tương tự,3
PHY1304,Phương trình vi phân,2
PHY2303,Điện và từ học,4
PHY3605,Cơ học lý thuyết,4
PHY1301,Giải tích 1,4
PHY2301,Cơ học,4
CHE1069,Thực tập hóa học đại cương,2
CHE1191,Thực tập hóa học hữu cơ 1,2
HUS1012,Kỹ năng bổ trợ,3
MAT1092,Giải tích 2,3
MAT1192,Giải tích 2,2
PHY3301,Cơ học lý thuyết,3
